id1,id2
playtime_124,metacritic_13277
playtime_124,metacritic_5989
playtime_124,metacritic_9371
playtime_124,metacritic_13963
playtime_125,metacritic_4749
playtime_125,metacritic_11317
playtime_125,metacritic_14586
playtime_125,metacritic_4874
playtime_125,metacritic_10952
playtime_125,metacritic_10855
playtime_126,metacritic_4964
playtime_130,metacritic_10855
playtime_130,metacritic_13689
playtime_130,metacritic_2653
playtime_130,metacritic_14132
playtime_131,metacritic_12864
playtime_131,metacritic_3554
playtime_131,metacritic_2677
playtime_131,metacritic_831
playtime_133,metacritic_2677
playtime_133,metacritic_949
playtime_133,metacritic_831
playtime_133,metacritic_3554
playtime_133,metacritic_14568
playtime_133,metacritic_11091
playtime_133,metacritic_13469
playtime_133,metacritic_11642
playtime_133,metacritic_2924
playtime_133,metacritic_12298
playtime_134,metacritic_831
playtime_134,metacritic_2677
playtime_134,metacritic_6819
playtime_134,metacritic_2924
playtime_134,metacritic_14594
playtime_134,metacritic_949
playtime_134,metacritic_4544
playtime_134,metacritic_8524
playtime_135,metacritic_13237
playtime_135,metacritic_14365
playtime_135,metacritic_1411
playtime_136,metacritic_6819
playtime_136,metacritic_2677
playtime_136,metacritic_949
playtime_136,metacritic_831
playtime_136,metacritic_2924
playtime_138,metacritic_831
playtime_138,metacritic_2677
playtime_138,metacritic_13374
playtime_145,metacritic_4621
playtime_145,metacritic_128
playtime_145,metacritic_4715
playtime_145,metacritic_3514
playtime_145,metacritic_2345
playtime_145,metacritic_3515
playtime_145,metacritic_9905
playtime_145,metacritic_2241
playtime_145,metacritic_12742
playtime_145,metacritic_12546
playtime_146,metacritic_3515
playtime_146,metacritic_12340
playtime_146,metacritic_3514
playtime_146,metacritic_12546
playtime_146,metacritic_2345
playtime_146,metacritic_5960
playtime_146,metacritic_4715
playtime_146,metacritic_1569
playtime_146,metacritic_14304
playtime_146,metacritic_128
playtime_147,metacritic_3515
playtime_147,metacritic_12340
playtime_147,metacritic_1569
playtime_147,metacritic_5960
playtime_147,metacritic_3514
playtime_147,metacritic_12931
playtime_147,metacritic_4715
playtime_147,metacritic_12546
playtime_147,metacritic_2345
playtime_147,metacritic_8437
playtime_149,metacritic_10753
playtime_149,metacritic_1571
playtime_149,metacritic_9373
playtime_149,metacritic_9423
playtime_150,metacritic_7301
playtime_150,metacritic_2851
playtime_150,metacritic_7801
playtime_150,metacritic_4875
playtime_150,metacritic_6566
playtime_150,metacritic_2002
playtime_150,metacritic_13853
playtime_150,metacritic_9083
playtime_150,metacritic_7319
playtime_150,metacritic_11476
playtime_151,metacritic_10855
playtime_151,metacritic_4105
playtime_151,metacritic_7083
playtime_151,metacritic_9547
playtime_151,metacritic_13925
playtime_151,metacritic_3311
playtime_151,metacritic_5329
playtime_151,metacritic_7823
playtime_151,metacritic_2567
playtime_151,metacritic_12524
playtime_153,metacritic_13594
playtime_153,metacritic_10931
playtime_153,metacritic_14422
playtime_162,metacritic_12869
playtime_162,metacritic_10758
playtime_162,metacritic_4545
playtime_162,metacritic_5462
playtime_162,metacritic_10423
playtime_162,metacritic_12516
playtime_162,metacritic_2851
playtime_162,metacritic_4802
playtime_162,metacritic_5039
playtime_162,metacritic_9843
playtime_163,metacritic_11468
playtime_163,metacritic_9869
playtime_166,metacritic_13699
